systemTime,severity,tag,timestamp,x,y,z
2023-04-04T16:48:02.551Z,log,info,1680616082551,sn2302043001J2,v118,
2023-04-04T16:48:02.551Z,log,calib,1680616082553,calibration_file,"{""Sgyro1"":[0.000305433,0,0,0,0.000305433,0,0,0,0.000305433],""b_gyro1"":[28.3774,22.667,-6.09057],""Sacc1"":[0.0011966,3.14093e-07,-3.44727e-06,3.09461e-07,0.001186,1.72746e-06,-3.4511e-06,1.75526e-06,0.00120116],""b_acc1"":[-22.9619,-40.3069,24.2217],""Smag1"":[0.000470173,-0.0789141,0.00282888,0.080908,0.00169065,-0.00221583,0.00212042,0.00239226,0.0825976],""b_mag1"":[-283.998,170.574,310.836],""magNormAtCalib"":40785,""alignSensors2eye"":[-0.0312406,0.996624,-0.0759309,0.266801,-0.0648966,-0.961564,-0.963245,-0.0502983,-0.263872],""acc1_noise"":[190.694,165.669,216.251],""gyro1_noise"":[3.35535,2.63462,2.27818],""mag1_noise"":[2.07447,2.45742,2.95155],""version"":2}",
2023-04-04T16:48:02.551Z,log,calib,1680616082554,user_calibration_file,"{""b_mag1"":[-32.223,-235.818,-85.786],""Smag1_scale"":0.788}",
2023-04-04T16:48:26.120Z,log,mag_temp,67099090,0.0,,
2023-04-04T16:48:26.120Z,log,acc_temp,67099090,28.8,,
2023-04-04T16:48:26.120Z,log,gyro_temp,67099090,28.8,,
2023-04-04T16:48:26.120Z,log,acc,67099090,1889,-612,-6889
2023-04-04T16:48:26.120Z,log,gyro,67099090,-932,1080,551
2023-04-04T16:48:26.120Z,log,acc,67108459,2101,-664,-7756
2023-04-04T16:48:26.124Z,log,gyro,67108459,151,-583,-396
2023-04-04T16:48:26.124Z,log,acc,67117797,2081,-685,-7760
2023-04-04T16:48:26.124Z,log,gyro,67117797,395,-822,-251
2023-04-04T16:48:26.124Z,log,acc,67127166,2073,-691,-7764
2023-04-04T16:48:26.124Z,log,gyro,67127166,-299,16,1690
2023-04-04T16:48:26.124Z,log,mag,67127258,-31999,-31999,-31999
2023-04-04T16:48:26.124Z,log,acc,67136535,2082,-705,-7789
2023-04-04T16:48:26.124Z,log,gyro,67136535,-74,-24,803
2023-04-04T16:48:26.124Z,log,acc,67145874,2075,-703,-7820
2023-04-04T16:48:26.124Z,log,gyro,67145874,46,-128,-12
2023-04-04T16:48:26.128Z,log,acc,67155242,2080,-702,-7836
2023-04-04T16:48:26.128Z,log,gyro,67155242,53,-137,-26
2023-04-04T16:48:26.128Z,log,acc,67164581,2080,-687,-7848
2023-04-04T16:48:26.128Z,log,gyro,67164581,51,-145,-40
2023-04-04T16:48:26.128Z,log,mag,67164672,-293,-427,177
2023-04-04T16:48:26.148Z,log,acc,67173950,2065,-672,-7881
2023-04-04T16:48:26.148Z,log,gyro,67173950,45,-150,-49
2023-04-04T16:48:26.155Z,log,acc,67183319,2057,-658,-7910
2023-04-04T16:48:26.155Z,log,gyro,67183319,41,-156,-52
2023-04-04T16:48:26.155Z,log,acc,67192657,2064,-645,-7928
2023-04-04T16:48:26.155Z,log,gyro,67192657,50,-149,-42
2023-04-04T16:48:26.172Z,log,acc,67202026,2054,-635,-7922
2023-04-04T16:48:26.177Z,log,gyro,67202026,68,-134,-31
2023-04-04T16:48:26.177Z,log,mag,67202117,-294,-424,178
2023-04-04T16:48:26.177Z,log,acc,67211364,2052,-653,-7934
2023-04-04T16:48:26.177Z,log,gyro,67211364,79,-110,-23
2023-04-04T16:48:26.187Z,log,acc,67220733,2048,-672,-7938
2023-04-04T16:48:26.187Z,log,gyro,67220733,57,-91,-26
2023-04-04T16:48:26.187Z,log,acc,67230102,2036,-681,-7938
2023-04-04T16:48:26.187Z,log,gyro,67230102,27,-73,-35
2023-04-04T16:48:26.208Z,log,acc,67239440,2055,-690,-7953
2023-04-04T16:48:26.208Z,log,gyro,67239440,16,-50,-44
2023-04-04T16:48:26.208Z,log,mag,67239532,-293,-426,174
2023-04-04T16:48:26.208Z,log,acc,67248809,2055,-684,-7967
2023-04-04T16:48:26.212Z,log,gyro,67248809,24,-23,-49
2023-04-04T16:48:26.228Z,log,acc,67258148,2062,-684,-7963
2023-04-04T16:48:26.232Z,log,gyro,67258148,46,9,-52
2023-04-04T16:48:26.232Z,log,acc,67267517,2061,-686,-7946
2023-04-04T16:48:26.232Z,log,gyro,67267517,61,40,-51
2023-04-04T16:48:26.248Z,log,acc,67276886,2049,-673,-7921
2023-04-04T16:48:26.248Z,log,gyro,67276886,68,64,-51
2023-04-04T16:48:26.248Z,log,mag,67276977,-294,-420,179
2023-04-04T16:48:26.248Z,log,acc,67286224,2049,-669,-7908
2023-04-04T16:48:26.252Z,log,gyro,67286224,74,81,-48
2023-04-04T16:48:26.267Z,log,acc,67295593,2043,-646,-7864
2023-04-04T16:48:26.267Z,log,gyro,67295593,81,94,-42
2023-04-04T16:48:26.267Z,log,acc,67304931,2037,-649,-7828
2023-04-04T16:48:26.267Z,log,gyro,67304931,77,97,-35
2023-04-04T16:48:26.288Z,log,acc,67314300,2037,-657,-7805
2023-04-04T16:48:26.288Z,log,gyro,67314300,53,85,-33
