systemTime,severity,tag,timestamp,x,y,z
2023-01-16T15:37:28.910Z,log,info,1673876248910,sn2239033001A2,v118,
2023-01-16T15:37:28.910Z,log,calib,1673876248912,calibration_file,"{""Sgyro1"":[0.000305433,0,0,0,0.000305433,0,0,0,0.000305433],""b_gyro1"":[-20.827,4.22392,15.3868],""Sacc1"":[0.00119363,1.46567e-06,-6.3051e-06,1.46613e-06,0.0011922,8.25071e-07,-6.32026e-06,8.26801e-07,0.00119341],""b_acc1"":[-9.86858,-101.121,13.4636],""Smag1"":[0.00119705,-0.0939414,0.00375212,0.098507,0.00219451,-0.00498614,0.00125566,0.00353323,0.100234],""b_mag1"":[-313.519,169.168,317.164],""magNormAtCalib"":40785,""alignSensors2eye"":[-0.0312406,0.996624,-0.0759309,0.266801,-0.0648966,-0.961564,-0.963245,-0.0502983,-0.263872],""acc1_noise"":[77.0605,81.5768,78.3909],""gyro1_noise"":[3.13967,2.12162,2.33961],""mag1_noise"":[2.46301,2.30086,2.73631],""version"":2}",
2023-01-16T15:37:32.323Z,log,mag_temp,34036193,0.0,,
2023-01-16T15:37:32.323Z,log,acc_temp,34036193,27.4,,
2023-01-16T15:37:32.323Z,log,gyro_temp,34036193,27.4,,
2023-01-16T15:37:32.323Z,log,acc,34036193,-4154,17,-5981
2023-01-16T15:37:32.323Z,log,gyro,34036193,133,948,-1388
2023-01-16T15:37:32.323Z,log,acc,34045684,-4707,-28,-6748
2023-01-16T15:37:32.323Z,log,gyro,34045684,89,120,-77
2023-01-16T15:37:32.323Z,log,acc,34055084,-4692,-50,-6766
2023-01-16T15:37:32.323Z,log,gyro,34055084,63,-379,745
2023-01-16T15:37:32.323Z,log,acc,34064453,-4694,-40,-6762
2023-01-16T15:37:32.323Z,log,gyro,34064453,133,424,-824
2023-01-16T15:37:32.323Z,log,mag,34064544,-31999,-31999,-31999
2023-01-16T15:37:32.323Z,log,acc,34073852,-4672,3,-6800
2023-01-16T15:37:32.323Z,log,gyro,34073852,-6,385,-479
2023-01-16T15:37:32.412Z,log,acc,34083251,-4672,21,-6821
2023-01-16T15:37:32.416Z,log,gyro,34083251,-96,309,-44
2023-01-16T15:37:32.416Z,log,acc,34092651,-4670,46,-6787
2023-01-16T15:37:32.420Z,log,gyro,34092651,-63,317,-45
2023-01-16T15:37:32.420Z,log,acc,34102020,-4681,60,-6743
2023-01-16T15:37:32.420Z,log,gyro,34102020,-39,314,-35
2023-01-16T15:37:32.420Z,log,mag,34102111,-423,476,409
2023-01-16T15:37:32.420Z,log,acc,34111419,-4688,67,-6707
2023-01-16T15:37:32.420Z,log,gyro,34111419,-12,308,-15
2023-01-16T15:37:32.420Z,log,acc,34120819,-4718,67,-6684
2023-01-16T15:37:32.420Z,log,gyro,34120819,33,297,20
2023-01-16T15:37:32.420Z,log,acc,34130218,-4738,44,-6683
2023-01-16T15:37:32.420Z,log,gyro,34130218,82,284,59
2023-01-16T15:37:32.420Z,log,acc,34139587,-4772,42,-6712
2023-01-16T15:37:32.420Z,log,gyro,34139587,115,268,93
2023-01-16T15:37:32.420Z,log,mag,34139678,-424,470,414
2023-01-16T15:37:32.420Z,log,acc,34148986,-4781,17,-6775
2023-01-16T15:37:32.420Z,log,gyro,34148986,120,253,126
2023-01-16T15:37:32.420Z,log,acc,34158386,-4816,7,-6852
2023-01-16T15:37:32.420Z,log,gyro,34158386,120,251,152
