systemTime,severity,tag,timestamp,x,y,z
2022-10-25T16:54:37.408Z,log,info,1666706077408,sn220901300060,v114,
2022-10-25T16:54:37.410Z,log,calib,1666706077410,calibration_file,"{""Sgyro1"":[0.000305433,0,0,0,0.000305433,0,0,0,0.000305433],""b_gyro1"":[54.9857,27.8273,-50.8922],""Sacc1"":[0.00118868,-3.64983e-07,-4.23055e-06,-3.6785e-07,0.00119619,3.10126e-07,-4.25071e-06,3.09176e-07,0.00119116],""b_acc1"":[33.1411,-30.435,26.7686],""Smag1"":[0.000839747,-0.0938745,0.00372359,0.0982961,0.00309062,-0.00287338,0.00300073,0.00690376,0.0980193],""b_mag1"":[-264.016,1286.38,-649.175],""magNormAtCalib"":40785,""alignSensors2eye"":[-0.0312406,0.996624,-0.0759309,0.266801,-0.0648966,-0.961564,-0.963245,-0.0502983,-0.263872],""acc1_noise"":[70.7743,70.5239,66.6452],""gyro1_noise"":[2.92169,2.25534,3.11983],""mag1_noise"":[2.33097,2.29068,2.56445],""version"":2}",
2022-10-25T16:54:40.636Z,log,mag_temp,28508117,0.0,,
2022-10-25T16:54:40.637Z,log,acc_temp,28508117,29.2,,
2022-10-25T16:54:40.637Z,log,gyro_temp,28508117,29.2,,
2022-10-25T16:54:40.637Z,log,acc,28508117,3231,-283,-6540
2022-10-25T16:54:40.638Z,log,gyro,28508117,-245,-1355,1207
2022-10-25T16:54:40.699Z,log,acc,28517547,3639,-302,-7340
2022-10-25T16:54:40.701Z,log,gyro,28517547,-722,-1036,2120
2022-10-25T16:54:40.701Z,log,acc,28526947,3651,-318,-7338
2022-10-25T16:54:40.701Z,log,gyro,28526947,-566,-633,702
2022-10-25T16:54:40.702Z,log,acc,28536346,3646,-305,-7344
2022-10-25T16:54:40.702Z,log,gyro,28536346,769,493,-4024
2022-10-25T16:54:40.703Z,log,mag,28536438,-32000,-32000,-32000
2022-10-25T16:54:40.705Z,log,acc,28545776,3630,-308,-7330
2022-10-25T16:54:40.705Z,log,gyro,28545776,423,292,-1991
2022-10-25T16:54:40.706Z,log,acc,28555175,3632,-318,-7342
2022-10-25T16:54:40.706Z,log,gyro,28555175,58,28,-71
2022-10-25T16:54:40.706Z,log,acc,28564575,3636,-312,-7320
2022-10-25T16:54:40.706Z,log,gyro,28564575,53,29,-59
2022-10-25T16:54:40.707Z,log,acc,28574005,3631,-303,-7340
2022-10-25T16:54:40.707Z,log,gyro,28574005,52,28,-53
2022-10-25T16:54:40.708Z,log,mag,28574096,-474,1168,-313
2022-10-25T16:54:40.709Z,log,acc,28583404,3645,-311,-7338
2022-10-25T16:54:40.710Z,log,gyro,28583404,54,27,-56
2022-10-25T16:54:40.710Z,log,acc,28592803,3639,-313,-7337
2022-10-25T16:54:40.710Z,log,gyro,28592803,55,26,-55
2022-10-25T16:54:40.778Z,log,acc,28602203,3650,-309,-7338
2022-10-25T16:54:40.779Z,log,gyro,28602203,52,25,-51
2022-10-25T16:54:40.780Z,log,acc,28611633,3640,-319,-7331
2022-10-25T16:54:40.781Z,log,gyro,28611633,54,29,-51
2022-10-25T16:54:40.782Z,log,mag,28611724,-477,1167,-319
2022-10-25T16:54:40.783Z,log,acc,28621032,3653,-309,-7330
2022-10-25T16:54:40.785Z,log,gyro,28621032,53,27,-53
2022-10-25T16:54:40.785Z,log,acc,28630432,3639,-307,-7335
2022-10-25T16:54:40.786Z,log,gyro,28630432,53,28,-53
