systemTime,severity,tag,timestamp,x,y,z
2022-10-25T17:37:25.625Z,log,info,1666708645625,sn220901300060,v114,
2022-10-25T17:37:25.627Z,log,calib,1666708645627,calibration_file,"{""Sgyro1"":[0.000305433,0,0,0,0.000305433,0,0,0,0.000305433],""b_gyro1"":[54.9857,27.8273,-50.8922],""Sacc1"":[0.00118868,-3.64983e-07,-4.23055e-06,-3.6785e-07,0.00119619,3.10126e-07,-4.25071e-06,3.09176e-07,0.00119116],""b_acc1"":[33.1411,-30.435,26.7686],""Smag1"":[0.000839747,-0.0938745,0.00372359,0.0982961,0.00309062,-0.00287338,0.00300073,0.00690376,0.0980193],""b_mag1"":[-264.016,1286.38,-649.175],""magNormAtCalib"":40785,""alignSensors2eye"":[-0.0312406,0.996624,-0.0759309,0.266801,-0.0648966,-0.961564,-0.963245,-0.0502983,-0.263872],""acc1_noise"":[70.7743,70.5239,66.6452],""gyro1_noise"":[2.92169,2.25534,3.11983],""mag1_noise"":[2.33097,2.29068,2.56445],""version"":2}",
2022-10-25T17:37:25.627Z,log,acc,31364501,2270,-870,-7723
2022-10-25T17:37:25.627Z,log,gyro,31364501,48,41,-44
2022-10-25T17:37:25.628Z,log,acc,31373901,2276,-829,-7737
2022-10-25T17:37:25.628Z,log,gyro,31373901,48,9,-43
2022-10-25T17:37:25.628Z,log,acc,31383331,2285,-844,-7793
2022-10-25T17:37:25.629Z,log,gyro,31392730,49,-24,-42
2022-10-25T17:37:25.629Z,log,acc,31392730,2335,-888,-7913
2022-10-25T17:37:25.629Z,log,gyro,31392730,49,-24,-42
2022-10-25T17:37:25.629Z,log,mag,31392822,-39,1278,-245
2022-10-25T17:37:25.704Z,log,acc,31402130,2331,-874,-7968
2022-10-25T17:37:25.706Z,log,gyro,31402130,49,4,-45
2022-10-25T17:37:25.707Z,log,acc,31411529,2341,-873,-7922
2022-10-25T17:37:25.707Z,log,gyro,31411529,55,35,-51
2022-10-25T17:37:25.708Z,log,acc,31420959,2315,-874,-7808
2022-10-25T17:37:25.708Z,log,gyro,31420959,49,55,-53
2022-10-25T17:37:25.709Z,log,acc,31430358,2294,-876,-7725
2022-10-25T17:37:25.709Z,log,gyro,31430358,52,45,-50
2022-10-25T17:37:25.709Z,log,mag,31430450,-38,1277,-247
2022-10-25T17:37:25.711Z,log,acc,31439758,2293,-854,-7743
2022-10-25T17:37:25.712Z,log,gyro,31439758,53,16,-45
2022-10-25T17:37:25.712Z,log,acc,31449188,2331,-883,-7811
2022-10-25T17:37:25.713Z,log,gyro,31449188,54,-4,-40
