systemTime,severity,tag,timestamp,x,y,z
2022-06-16T09:31:48.298Z,log,info,1655361108298,sn22210230013V,v110,
2022-06-16T09:31:48.299Z,log,calib,1655361108299,calibration_file,"{""Sgyro1"":[0.000305433,0,0,0,0.000305433,0,0,0,0.000305433],""b_gyro1"":[18.7094,-6.80497,-27.2065],""Sacc1"":[0.00120243,5.44749e-07,-5.27152e-06,5.44749e-07,0.00119099,7.44102e-07,-5.27152e-06,7.44102e-07,0.00119805],""b_acc1"":[-75.8199,-34.6317,17.6735],""Smag1"":[0.00139655,-0.078966,0.00162419,0.0814129,0.000636543,0.0010846,-0.00131297,0.00132181,0.0828776],""b_mag1"":[-363.741,496.012,32.7757],""magNormAtCalib"":40785,""alignSensors2eye"":[-0.0312406,0.996624,-0.0759309,0.266801,-0.0648966,-0.961564,-0.963245,-0.0502983,-0.263872],""acc1_noise"":[174.279,161.674,176.036],""gyro1_noise"":[3.26606,2.85509,2.83677],""mag1_noise"":[2.3087,2.20271,2.86461],""version"":1}",
2022-06-16T09:39:35.531Z,log,mag_temp,486427276,0.0,,
2022-06-16T09:39:35.531Z,log,acc_temp,486427276,34.9,,
2022-06-16T09:39:35.531Z,log,gyro_temp,486427276,34.9,,
2022-06-16T09:39:35.532Z,log,acc,486427276,2020,227,-5727
2022-06-16T09:39:35.533Z,log,gyro,486427276,-573,-341,984
2022-06-16T09:39:35.534Z,log,acc,486446105,2708,344,-7689
2022-06-16T09:39:35.534Z,log,gyro,486446105,-166,-320,-56
2022-06-16T09:39:35.535Z,log,mag,486446197,-32000,-32000,-32000
2022-06-16T09:39:35.535Z,log,acc,486464965,2731,346,-7647
2022-06-16T09:39:35.536Z,log,gyro,486464965,552,797,-1613
2022-06-16T09:39:35.536Z,log,acc,486483825,2741,316,-7561
2022-06-16T09:39:35.536Z,log,gyro,486483825,106,93,2
2022-06-16T09:39:35.536Z,log,mag,486483917,-479,1412,-205
2022-06-16T09:39:35.563Z,log,acc,486502685,2798,253,-7583
2022-06-16T09:39:35.565Z,log,gyro,486502685,101,74,57
2022-06-16T09:39:35.566Z,log,acc,486521545,2770,195,-7571
2022-06-16T09:39:35.567Z,log,gyro,486521545,85,21,98
2022-06-16T09:39:35.568Z,log,mag,486521636,-478,1409,-205
2022-06-16T09:39:35.569Z,log,acc,486540374,2793,127,-7660
2022-06-16T09:39:35.569Z,log,gyro,486540374,46,-19,96
2022-06-16T09:39:35.628Z,log,acc,486559234,2751,117,-7655
2022-06-16T09:39:35.629Z,log,gyro,486559234,5,-48,56
2022-06-16T09:39:35.629Z,log,mag,486559326,-479,1416,-202
2022-06-16T09:39:35.630Z,log,acc,486578094,2728,128,-7678
2022-06-16T09:39:35.630Z,log,gyro,486578094,0,-58,10
2022-06-16T09:39:35.630Z,log,acc,486596954,2711,154,-7697
2022-06-16T09:39:35.630Z,log,gyro,486596954,13,-52,-30
2022-06-16T09:39:35.630Z,log,mag,486597045,-480,1412,-207
2022-06-16T09:39:35.631Z,log,acc,486615783,2707,172,-7707
2022-06-16T09:39:35.631Z,log,gyro,486615783,43,-10,-57
2022-06-16T09:39:35.691Z,log,acc,486634643,2702,182,-7673
2022-06-16T09:39:35.694Z,log,gyro,486634643,80,41,-68
