systemTime,severity,tag,timestamp,x,y,z
2022-07-04T14:52:15.992Z,log,info,1656935535992,sn220901300060,v110,
2022-07-04T14:52:15.993Z,log,calib,1656935535993,calibration_file,"{""Sgyro1"":[0.000305433,0,0,0,0.000305433,0,0,0,0.000305433],""b_gyro1"":[51.784,22.348,-42.0336],""Sacc1"":[0.00118887,-3.65018e-07,-4.1903e-06,-3.67797e-07,0.00119648,1.59992e-07,-4.21032e-06,1.59542e-07,0.00119169],""b_acc1"":[12.5624,-7.15278,26.6185],""Smag1"":[0.000837705,-0.0938097,0.00353313,0.0983552,0.00300803,-0.00282139,0.0028903,0.00627166,0.0978828],""b_mag1"":[-610.811,562.643,-123.2],""magNormAtCalib"":40785,""alignSensors2eye"":[-0.0312406,0.996624,-0.0759309,0.266801,-0.0648966,-0.961564,-0.963245,-0.0502983,-0.263872],""acc1_noise"":[68.2369,75.0043,83.3001],""gyro1_noise"":[2.86008,2.38523,3.09086],""mag1_noise"":[2.20025,2.0695,2.73139],""version"":2}",
2022-07-04T14:52:15.994Z,log,acc,177561889,-1081,-713,-6198
2022-07-04T14:52:15.995Z,log,gyro,177561889,-256,-917,1040
2022-07-04T14:52:16.079Z,log,acc,177580719,-1403,-968,-8440
2022-07-04T14:52:16.081Z,log,gyro,177580719,-287,-82,-113
2022-07-04T14:52:16.082Z,log,mag,177580810,-32000,-32000,-32000
2022-07-04T14:52:16.085Z,log,acc,177599548,-1358,-963,-8443
2022-07-04T14:52:16.086Z,log,gyro,177599548,292,1243,-2027
2022-07-04T14:52:16.087Z,log,acc,177618347,-1364,-934,-8379
2022-07-04T14:52:16.087Z,log,gyro,177618347,-64,1240,-17
2022-07-04T14:52:16.088Z,log,mag,177618438,-784,763,155
2022-07-04T14:52:16.089Z,log,acc,177637176,-1345,-875,-8346
2022-07-04T14:52:16.090Z,log,gyro,177637176,-60,1346,19
2022-07-04T14:52:16.091Z,log,acc,177656005,-1301,-811,-8306
2022-07-04T14:52:16.092Z,log,gyro,177656005,-53,1413,77
2022-07-04T14:52:16.093Z,log,mag,177656097,-784,766,165
2022-07-04T14:52:16.165Z,log,acc,177674835,-1211,-764,-8296
2022-07-04T14:52:16.167Z,log,gyro,177674835,-48,1469,171
2022-07-04T14:52:16.168Z,log,acc,177693634,-1139,-739,-8300
2022-07-04T14:52:16.169Z,log,gyro,177693634,-40,1526,291
2022-07-04T14:52:16.170Z,log,mag,177693725,-785,755,167
2022-07-04T14:52:16.172Z,log,acc,177712463,-1033,-751,-8357
2022-07-04T14:52:16.173Z,log,gyro,177712463,-29,1590,432
2022-07-04T14:52:16.174Z,log,acc,177731292,-961,-775,-8388
2022-07-04T14:52:16.175Z,log,gyro,177731292,-65,1675,558
2022-07-04T14:52:16.176Z,log,mag,177731384,-781,749,168
