systemTime,severity,tag,timestamp,x,y,z
2023-01-09T15:32:09.517Z,log,info,1673271129517,sn2239033001A2,v117,
2023-01-09T15:32:09.517Z,log,calib,1673271129520,calibration_file,"{""Sgyro1"":[0.000305433,0,0,0,0.000305433,0,0,0,0.000305433],""b_gyro1"":[-20.827,4.22392,15.3868],""Sacc1"":[0.00119363,1.46567e-06,-6.3051e-06,1.46613e-06,0.0011922,8.25071e-07,-6.32026e-06,8.26801e-07,0.00119341],""b_acc1"":[-9.86858,-101.121,13.4636],""Smag1"":[0.00119705,-0.0939414,0.00375212,0.098507,0.00219451,-0.00498614,0.00125566,0.00353323,0.100234],""b_mag1"":[-313.519,169.168,317.164],""magNormAtCalib"":40785,""alignSensors2eye"":[-0.0312406,0.996624,-0.0759309,0.266801,-0.0648966,-0.961564,-0.963245,-0.0502983,-0.263872],""acc1_noise"":[77.0605,81.5768,78.3909],""gyro1_noise"":[3.13967,2.12162,2.33961],""mag1_noise"":[2.46301,2.30086,2.73631],""version"":2}",
2023-01-09T15:32:09.517Z,log,calib,1673271129520,user_calibration_file,"{""b_mag1"":[-312.048,175.499,324.964],""Smag1_scale"":0.932}",
2023-01-09T15:32:09.521Z,log,acc,9048278,2328,-789,-7950
2023-01-09T15:32:09.521Z,log,gyro,9048278,111,225,-140
2023-01-09T15:32:09.521Z,log,acc,9057647,2304,-802,-7932
2023-01-09T15:32:09.521Z,log,gyro,9057647,159,274,-218
2023-01-09T15:32:09.521Z,log,acc,9067047,2250,-793,-7899
2023-01-09T15:32:09.521Z,log,gyro,9067047,194,304,-300
2023-01-09T15:32:09.575Z,log,acc,9076446,2255,-780,-7834
2023-01-09T15:32:09.580Z,log,gyro,9076446,227,322,-377
2023-01-09T15:32:09.580Z,log,mag,9076538,-552,0,576
2023-01-09T15:32:09.584Z,log,acc,9085845,2252,-734,-7768
2023-01-09T15:32:09.584Z,log,gyro,9085845,273,323,-441
2023-01-09T15:32:09.584Z,log,acc,9095245,2261,-662,-7731
2023-01-09T15:32:09.584Z,log,gyro,9095245,318,306,-491
2023-01-09T15:32:09.584Z,log,acc,9104614,2199,-610,-7698
2023-01-09T15:32:09.584Z,log,gyro,9104614,339,260,-515
2023-01-09T15:32:09.584Z,log,acc,9114013,2159,-552,-7641
